Name,Cost_INR_capped,CuisineOH_North_Indian,CuisineOH_Chinese,CuisineOH_Continental,CuisineOH_Biryani,CuisineOH_Asian,CuisineOH_Fast_Food,CuisineOH_Italian,CuisineOH_Desserts,CuisineOH_South_Indian,CuisineOH_Bakery,Avg_Rating,Review_Count,Avg_Pictures,Avg_Followers,Avg_Critic_Score,Avg_Sentiment,Pct_Positive,log_Review_Count,KMeans_Cluster,KMeans_Best_Cluster,Agg_Cluster,Agg_Best_Cluster
Beyond Flavours,800,1,1,1,0,0,0,0,0,1,0,4.28,100,0.14370443397995314,0.0,0.0,0.6633939999999999,0.85,4.61512051684126,2,2,0,0
Paradise,800,1,1,0,1,0,0,0,0,0,0,4.7,100,0.013862943611198907,0.0,0.0,0.8271250000000001,0.95,4.61512051684126,2,2,1,0
Flechazo,1300,1,0,0,0,1,0,0,1,0,0,4.66,100,0.20138764393789088,0.0,0.0,0.7905629999999999,0.94,4.61512051684126,2,2,1,0
Shah Ghouse Hotel & Restaurant,800,1,1,0,1,0,0,0,0,0,0,3.21,100,0.15521171687802437,0.0,0.0,0.288774,0.63,4.61512051684126,0,0,0,0
Over The Moon Brew Company,1200,1,1,1,0,1,0,0,0,0,0,4.34,100,0.20244124909446914,0.0,0.0,0.7777970000000001,0.91,4.61512051684126,2,2,1,0
The Fisherman's Wharf,1500,1,0,1,0,1,0,0,0,0,0,4.22,100,0.4449411073580604,0.0,0.0,0.7706310000000001,0.91,4.61512051684126,2,2,1,0
eat.fit,500,1,0,1,0,0,0,0,0,1,0,3.2,100,0.2831480240067973,0.0,0.0,0.354495,0.66,4.61512051684126,0,0,0,0
Shah Ghouse Spl Shawarma,300,0,0,0,0,0,0,0,0,0,0,3.43,100,0.05950642552587727,0.0,0.0,0.336556,0.65,4.61512051684126,0,0,0,0
Hyper Local,1000,1,1,0,0,0,0,0,0,1,0,3.64,100,0.37365224624858195,0.0,0.0,0.596001,0.82,4.61512051684126,2,2,0,0
Cream Stone,350,0,0,0,0,0,0,0,1,0,0,3.845,100,0.2512432605033323,0.0,0.0,0.484002,0.8,4.61512051684126,1,1,2,0
Sardarji's Chaats & More,400,1,0,0,0,0,1,0,0,0,0,3.25,100,0.15484804043631561,0.0,0.0,0.289814,0.63,4.61512051684126,0,0,0,0
