Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,Rating_Clean,Reviewer_Reviews,Reviewer_Followers,Review_Year,Review_Month,Review_DayOfWeek,Sentiment_Score,Sentiment_Label,Rating_Bucket,log_Reviewer_Reviews,log_Reviewer_Followers,log_Pictures,Review_Processed,Review_Tokens,Review_Sentences,Token_Count,Sentence_Count,Review_Lemmatized,Review_Porter_Stemmed,Review_Snowball_Stemmed,Rating_clean,Sentiment,Sentiment_encoded,Cost_clean,Collection_Count,Cuisine_Count,Cuisine_Freq_Enc,Rating_Sentiment,Sentiment_Label_Tuned,Sentiment_Final,Sentiment_Correct
Beyond Flavours,Rusha Chakraborty,the ambience be good food be quite good have saturday lunch which be cost effective good place for a sate brunch one can also chill with friend and or parent waiter soumen da be really courteous and helpful,5,"1 Review , 2 Followers",2019-05-25 15:54:00,0,5.0,0,0,2019.0,5.0,5.0,0.9668,Positive,Excellent,0.0,0.0,0.0,ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friend parent waiter soumen da really courteous helpful,"['the', 'ambience', 'was', 'good', 'food', 'was', 'quite', 'good', 'had', 'saturday', 'lunch', 'which', 'was', 'cost', 'effective', 'good', 'place', 'for', 'a', 'sate', 'brunch', 'one', 'can', 'also', 'chill', 'with', 'friends', 'and', 'or', 'parents', 'waiter', 'soumen', 'das', 'was', 'really', 'courteous', 'and', 'helpful']",['the ambience was good food was quite good had saturday lunch which was cost effective good place for a sate brunch one can also chill with friends and or parents waiter soumen das was really courteous and helpful'],38,1,the ambience be good food be quite good have saturday lunch which be cost effective good place for a sate brunch one can also chill with friend and or parent waiter soumen da be really courteous and helpful,the ambienc wa good food wa quit good had saturday lunch which wa cost effect good place for a sate brunch one can also chill with friend and or parent waiter soumen da wa realli courteou and help,the ambienc was good food was quit good had saturday lunch which was cost effect good place for a sate brunch one can also chill with friend and or parent waiter soumen das was realli courteous and help,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Anusha Tirumalaneedi,ambience be too good for a pleasant evening service be very prompt food be good over all a good experience soumen das kudos to the service,5,"3 Reviews , 2 Followers",2019-05-25 14:20:00,0,5.0,0,0,2019.0,5.0,5.0,0.936,Positive,Excellent,0.0,0.0,0.0,ambience good pleasant evening service prompt food good good experience soumen da kudos service,"['ambience', 'is', 'too', 'good', 'for', 'a', 'pleasant', 'evening', 'service', 'is', 'very', 'prompt', 'food', 'is', 'good', 'over', 'all', 'a', 'good', 'experience', 'soumen', 'das', 'kudos', 'to', 'the', 'service']",['ambience is too good for a pleasant evening service is very prompt food is good over all a good experience soumen das kudos to the service'],26,1,ambience be too good for a pleasant evening service be very prompt food be good over all a good experience soumen das kudos to the service,ambienc is too good for a pleasant even servic is veri prompt food is good over all a good experi soumen da kudo to the servic,ambienc is too good for a pleasant even servic is veri prompt food is good over all a good experi soumen das kudo to the servic,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Ashok Shekhawat,a must try great food great ambience thnx for the service by pradeep and subroto my personal recommendation be penne alfredo pasta also the music in the background be amaze,5,"2 Reviews , 3 Followers",2019-05-24 22:54:00,0,5.0,0,0,2019.0,5.0,4.0,0.9136,Positive,Excellent,0.0,0.0,0.0,must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amazing,"['a', 'must', 'try', 'great', 'food', 'great', 'ambience', 'thnx', 'for', 'the', 'service', 'by', 'pradeep', 'and', 'subroto', 'my', 'personal', 'recommendation', 'is', 'penne', 'alfredo', 'pasta', 'also', 'the', 'music', 'in', 'the', 'background', 'is', 'amazing']",['a must try great food great ambience thnx for the service by pradeep and subroto my personal recommendation is penne alfredo pasta also the music in the background is amazing'],30,1,a must try great food great ambience thnx for the service by pradeep and subroto my personal recommendation be penne alfredo pasta also the music in the background be amaze,a must tri great food great ambienc thnx for the servic by pradeep and subroto my person recommend is penn alfredo pasta also the music in the background is amaz,a must tri great food great ambienc thnx for the servic by pradeep and subroto my person recommend is penn alfredo pasta also the music in the background is amaz,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Swapnil Sarkar,soumen da and arun be a great guy only because of their behavior and sincerety and good food off course i would like to visit this place again,5,"1 Review , 1 Follower",2019-05-24 22:11:00,0,5.0,0,0,2019.0,5.0,4.0,0.8591,Positive,Excellent,0.0,0.0,0.0,soumen da arun great guy behavior sincerety good food course would like visit place,"['soumen', 'das', 'and', 'arun', 'was', 'a', 'great', 'guy', 'only', 'because', 'of', 'their', 'behavior', 'and', 'sincerety', 'and', 'good', 'food', 'off', 'course', 'i', 'would', 'like', 'to', 'visit', 'this', 'place', 'again']",['soumen das and arun was a great guy only because of their behavior and sincerety and good food off course i would like to visit this place again'],28,1,soumen da and arun be a great guy only because of their behavior and sincerety and good food off course i would like to visit this place again,soumen da and arun wa a great guy onli becaus of their behavior and sincereti and good food off cours i would like to visit thi place again,soumen das and arun was a great guy onli becaus of their behavior and sincereti and good food off cours i would like to visit this place again,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Dileep,food be goodwe ordered kodi drumstick and basket mutton biryani all be good thanks to pradeep he serve well we enjoy here ambience be also very good,5,"3 Reviews , 2 Followers",2019-05-24 21:37:00,0,5.0,0,0,2019.0,5.0,4.0,0.9186,Positive,Excellent,0.0,0.0,0.0,food goodwe ordered kodi drumstick basket mutton biryani good thanks pradeep served well enjoyed ambience also good,"['food', 'is', 'goodwe', 'ordered', 'kodi', 'drumsticks', 'and', 'basket', 'mutton', 'biryani', 'all', 'are', 'good', 'thanks', 'to', 'pradeep', 'he', 'served', 'well', 'we', 'enjoyed', 'here', 'ambience', 'is', 'also', 'very', 'good']",['food is goodwe ordered kodi drumsticks and basket mutton biryani all are good thanks to pradeep he served well we enjoyed here ambience is also very good'],27,1,food be goodwe ordered kodi drumstick and basket mutton biryani all be good thanks to pradeep he serve well we enjoy here ambience be also very good,food is goodw order kodi drumstick and basket mutton biryani all are good thank to pradeep he serv well we enjoy here ambienc is also veri good,food is goodw order kodi drumstick and basket mutton biryani all are good thank to pradeep he serv well we enjoy here ambienc is also veri good,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Nagabhavani K,ambiance be good service be good food be apradeecp and subro best service food be good papiya good hostess and your caption very good this be restaurant,5,1 Review,2019-05-24 15:22:00,0,5.0,0,0,2019.0,5.0,4.0,0.9565,Positive,Excellent,0.0,0.0,0.0,ambiance good service good food apradeecp subro best service food good papiya good hostess caption good restaurant,"['ambiance', 'is', 'good', 'service', 'is', 'good', 'food', 'is', 'apradeecp', 'and', 'subro', 'best', 'service', 'food', 'is', 'good', 'papiya', 'good', 'hostess', 'and', 'your', 'caption', 'very', 'good', 'this', 'is', 'restaurant']",['ambiance is good service is good food is apradeecp and subro best service food is good papiya good hostess and your caption very good this is restaurant'],27,1,ambiance be good service be good food be apradeecp and subro best service food be good papiya good hostess and your caption very good this be restaurant,ambianc is good servic is good food is apradeecp and subro best servic food is good papiya good hostess and your caption veri good thi is restaur,ambianc is good servic is good food is apradeecp and subro best servic food is good papiya good hostess and your caption veri good this is restaur,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Jamuna Bhuwalka,it a very nice place ambience be different all the food we order be very tasty service be also good worth visit it reasonable a well really a must visit place,5,1 Review,2019-05-24 01:02:00,0,5.0,0,0,2019.0,5.0,4.0,0.8399,Positive,Excellent,0.0,0.0,0.0,nice place ambience different food ordered tasty service also gud worth visit reasonable well really must visit place,"['its', 'a', 'very', 'nice', 'place', 'ambience', 'is', 'different', 'all', 'the', 'food', 'we', 'ordered', 'was', 'very', 'tasty', 'service', 'is', 'also', 'good', 'worth', 'visit', 'its', 'reasonable', 'as', 'well', 'really', 'a', 'must', 'visit', 'place']",['its a very nice place ambience is different all the food we ordered was very tasty service is also good worth visit its reasonable as well really a must visit place'],31,1,it a very nice place ambience be different all the food we order be very tasty service be also good worth visit it reasonable a well really a must visit place,it a veri nice place ambienc is differ all the food we order wa veri tasti servic is also good worth visit it reason as well realli a must visit place,it a veri nice place ambienc is differ all the food we order was veri tasti servic is also good worth visit it reason as well realli a must visit place,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Sandhya S,well after read so many review finally visit this placeambience be so good and come to food crispy corn be nice tawa fish be okay basket biryani disappoint u biryani be okay but not flatter a they claim staff be polite and prompt especially pradeep and suman,4,1 Review,2019-05-23 15:01:00,0,4.0,0,0,2019.0,5.0,3.0,0.5309,Positive,Good,0.0,0.0,0.0,well reading many review finally visited placeambience good coming food crispy corn nice tawa fish basket biryani disappointed biryani flattering claimed staff polite prompt especially pradeep suman,"['well', 'after', 'reading', 'so', 'many', 'reviews', 'finally', 'visited', 'this', 'placeambience', 'was', 'so', 'good', 'and', 'coming', 'to', 'food', 'crispy', 'corn', 'is', 'nice', 'tawa', 'fish', 'was', 'okay', 'basket', 'biryani', 'disappointed', 'us', 'biryani', 'was', 'okay', 'but', 'not', 'flattering', 'as', 'they', 'claimed', 'staff', 'was', 'polite', 'and', 'prompt', 'especially', 'pradeep', 'and', 'suman']",['well after reading so many reviews finally visited this placeambience was so good and coming to food crispy corn is nice tawa fish was okay basket biryani disappointed us biryani was okay but not flattering as they claimed staff was polite and prompt especially pradeep and suman'],47,1,well after read so many review finally visit this placeambience be so good and come to food crispy corn be nice tawa fish be okay basket biryani disappoint u biryani be okay but not flatter a they claim staff be polite and prompt especially pradeep and suman,well after read so mani review final visit thi placeambi wa so good and come to food crispi corn is nice tawa fish wa okay basket biryani disappoint us biryani wa okay but not flatter as they claim staff wa polit and prompt especi pradeep and suman,well after read so mani review final visit this placeambi was so good and come to food crispi corn is nice tawa fish was okay basket biryani disappoint us biryani was okay but not flatter as they claim staff was polit and prompt especi pradeep and suman,4.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Akash Thorat,excellent food specially if you like spicy food courteous staff shubro and pradeep and papiya give excellent service to our corporate team dinner overall great for team dinner and party,5,"1 Review , 1 Follower",2019-05-22 23:12:00,0,5.0,0,0,2019.0,5.0,2.0,0.9638,Positive,Excellent,0.0,0.0,0.0,excellent food specially like spicy food courteous staff shubro pradeep papiya gave excellent service corporate team dinner overall great team dinner party,"['excellent', 'food', 'specially', 'if', 'you', 'like', 'spicy', 'food', 'courteous', 'staff', 'shubro', 'and', 'pradeep', 'and', 'papiya', 'gave', 'excellent', 'service', 'to', 'our', 'corporate', 'team', 'dinner', 'overall', 'great', 'for', 'team', 'dinners', 'and', 'party']",['excellent food specially if you like spicy food courteous staff shubro and pradeep and papiya gave excellent service to our corporate team dinner overall great for team dinners and party'],30,1,excellent food specially if you like spicy food courteous staff shubro and pradeep and papiya give excellent service to our corporate team dinner overall great for team dinner and party,excel food special if you like spici food courteou staff shubro and pradeep and papiya gave excel servic to our corpor team dinner overal great for team dinner and parti,excel food special if you like spici food courteous staff shubro and pradeep and papiya gave excel servic to our corpor team dinner overal great for team dinner and parti,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
Beyond Flavours,Smarak Patnaik,come for the birthday treat of a close friend perfect place for a treat like this very hospitable and cooperative staff food be delicious ambience be really good with the music and the lighting chili honey lotus stem be a must try here special mention to papiya who take good care of u,5,"1 Review , 1 Follower",2019-05-22 22:37:00,0,5.0,0,0,2019.0,5.0,2.0,0.9831,Positive,Excellent,0.0,0.0,0.0,came birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya took good care,"['came', 'for', 'the', 'birthday', 'treat', 'of', 'a', 'close', 'friend', 'perfect', 'place', 'for', 'a', 'treat', 'like', 'this', 'very', 'hospitable', 'and', 'cooperative', 'staff', 'food', 'was', 'delicious', 'ambience', 'was', 'really', 'good', 'with', 'the', 'music', 'and', 'the', 'lighting', 'chili', 'honey', 'lotus', 'stem', 'is', 'a', 'must', 'try', 'here', 'special', 'mention', 'to', 'papiya', 'who', 'took', 'good', 'care', 'of', 'us']",['came for the birthday treat of a close friend perfect place for a treat like this very hospitable and cooperative staff food was delicious ambience was really good with the music and the lighting chili honey lotus stem is a must try here special mention to papiya who took good care of us'],53,1,come for the birthday treat of a close friend perfect place for a treat like this very hospitable and cooperative staff food be delicious ambience be really good with the music and the lighting chili honey lotus stem be a must try here special mention to papiya who take good care of u,came for the birthday treat of a close friend perfect place for a treat like thi veri hospit and cooper staff food wa delici ambienc wa realli good with the music and the light chili honey lotu stem is a must tri here special mention to papiya who took good care of us,came for the birthday treat of a close friend perfect place for a treat like this veri hospit and cooper staff food was delici ambienc was realli good with the music and the light chili honey lotus stem is a must tri here special mention to papiya who took good care of us,5.0,Positive,2,0,0,0,0,Positive,Positive,Positive,True
